title,value,stage,probability,close_date,notes
Acme Corp Platform Deal,120000,proposal,50,2026-06-30,Enterprise platform renewal - decision pending
TechStart Integration,45000,negotiation,75,2026-05-15,API integration project - legal review
GlobalTech Consulting,85000,qualified,20,2026-09-01,Annual consulting retainer - Q3 start
Startup Co Migration,30000,won,100,2026-04-01,Cloud migration completed successfully
Agency Pro Campaign,22000,lead,10,2026-08-15,Digital marketing campaign - discovery phase
DataFlow ML Pipeline,95000,proposal,40,2026-07-15,ML pipeline setup - technical evaluation
FinTech Payment Gateway,150000,qualified,30,2026-08-01,Payment processing integration
Enterprise Global ERP,500000,negotiation,60,2026-06-01,ERP integration - executive approval stage
WebWorks Redesign,35000,lead,15,2026-09-15,Website redesign project - initial scoping
Legal LLP Compliance,60000,qualified,45,2026-07-01,Compliance management system
